game title,link,date released,game cover,price
FINAL FANTASY XVI,https://store.steampowered.com/app/2515020/FINAL_FANTASY_XVI/?snr=1_7_7_7000_150_1,"17 Sep, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2515020/capsule_sm_120.jpg?t=1726590088,Rp 729 000
Apex Legends™,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_7000_150_1,"4 Nov, 2020",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1172470/capsule_sm_120.jpg?t=1726164032,Free
Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1,"21 Aug, 2012",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/730/capsule_sm_120.jpg?t=1719426374,Free
"Warhammer 40,000: Space Marine 2",https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/?snr=1_7_7_7000_150_1,"9 Sep, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2183900/capsule_sm_120.jpg?t=1726664896,Rp 549 000
Steam Deck,https://store.steampowered.com/app/1675200/Steam_Deck/?snr=1_7_7_7000_150_1,,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1675200/capsule_sm_120.jpg?t=1699990406,
Frostpunk 2,https://store.steampowered.com/app/1601580/Frostpunk_2/?snr=1_7_7_7000_150_1,"20 Sep, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1601580/cbbcef0a73599e6bf1cc232ff6fc9cf105fb3db8/capsule_sm_120_alt_assets_1.jpg?t=1726669279,Rp 338 999
Black Myth: Wukong,https://store.steampowered.com/app/2358720/Black_Myth_Wukong/?snr=1_7_7_7000_150_1,"19 Aug, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2358720/b7f722ddd5e23503f598586aa3700dd4d827bb2d/capsule_sm_120.jpg?t=1725007201,Rp 699 999
PUBG: BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1,"21 Dec, 2017",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/4f5bd6fbde8ef39aea742014f13ce91f567ca472/capsule_sm_120.jpg?t=1725501407,Free
EA SPORTS FC™ 25,https://store.steampowered.com/app/2669320/EA_SPORTS_FC_25/?snr=1_7_7_7000_150_1,"26 Sep, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2669320/capsule_sm_120.jpg?t=1724359060,Rp 799 000
Forza Horizon 4,https://store.steampowered.com/app/1293830/Forza_Horizon_4/?snr=1_7_7_7000_150_1,"9 Mar, 2021",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1293830/capsule_sm_120.jpg?t=1702576030,-80%Rp 249 999Rp 49 999
God of War Ragnarök,https://store.steampowered.com/app/2322010/God_of_War_Ragnarok/?snr=1_7_7_7000_150_1,"19 Sep, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2322010/capsule_sm_120.jpg?t=1725898282,Rp 879 000
NBA 2K25,https://store.steampowered.com/app/2878980/NBA_2K25/?snr=1_7_7_7000_150_1,"3 Sep, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2878980/capsule_sm_120.jpg?t=1726472665,Rp 799 000
Dota 2,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1,"9 Jul, 2013",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/570/capsule_sm_120.jpg?t=1724428927,Free
TCG Card Shop Simulator,https://store.steampowered.com/app/3070070/TCG_Card_Shop_Simulator/?snr=1_7_7_7000_150_1,"15 Sep, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3070070/capsule_sm_120.jpg?t=1726579567,-10%Rp 114 999Rp 103 499
The Plucky Squire,https://store.steampowered.com/app/1627570/The_Plucky_Squire/?snr=1_7_7_7000_150_1,"17 Sep, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1627570/eee6343d7a26cea6e2bd2c241300f971a526ba31/capsule_sm_120.jpg?t=1726589983,Rp 245 999
Forza Horizon 5,https://store.steampowered.com/app/1551360/Forza_Horizon_5/?snr=1_7_7_7000_150_1,"8 Nov, 2021",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1551360/capsule_sm_120.jpg?t=1725950938,-50%Rp 699 000Rp 349 500
HELLDIVERS™ 2,https://store.steampowered.com/app/553850/HELLDIVERS_2/?snr=1_7_7_7000_150_1,"8 Feb, 2024",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/553850/capsule_sm_120.jpg?t=1724260543,-20%Rp 579 000Rp 463 200
